Серьезность	Код	Описание	Проект	Файл	Строка	Состояние подавления
Ошибка	CS0246	Не удалось найти тип или имя пространства имен "PersonViewModel" (возможно, отсутствует директива using или ссылка на сборку).	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\View\WindowEmployee.xaml.cs	16	Активные
Ошибка	CS0111	Тип "RoleViewModel" уже определяет член "SaveRole" с такими же типами параметров.	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	45	Активные
Ошибка	CS0111	Тип "RoleViewModel" уже определяет член "RoleViewModel" с такими же типами параметров.	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	22	Активные
Ошибка	CS0111	Тип "RoleViewModel" уже определяет член "OnPropertyChanged" с такими же типами параметров.	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	105	Активные
Ошибка	CS0111	Тип "RoleViewModel" уже определяет член "MaxId" с такими же типами параметров.	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	51	Активные
Ошибка	CS0111	Тип "RoleViewModel" уже определяет член "LoadRole" с такими же типами параметров.	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	27	Активные
Сообщение	IDE0044	Сделать поле доступным только для чтения	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	19	Активные
Сообщение	IDE0044	Сделать поле доступным только для чтения	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	53	Активные
Сообщение	IDE0044	Сделать поле доступным только для чтения	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	73	Активные
Сообщение	IDE0044	Сделать поле доступным только для чтения	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	92	Активные
Ошибка	CS0101	Пространство имен "WpfApp1Demo2018.ViewModel" уже содержит определение для "RoleViewModel".	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	15	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	41	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	67	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	86	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	100	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	41	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	67	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	86	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.SaveRole()" и "RoleViewModel.SaveRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	100	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.RoleViewModel()" и "RoleViewModel.RoleViewModel()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\View\WindowRole.xaml.cs	21	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.OnPropertyChanged(string)" и "RoleViewModel.OnPropertyChanged(string)"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	20	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.OnPropertyChanged(string)" и "RoleViewModel.OnPropertyChanged(string)"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	20	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.MaxId()" и "RoleViewModel.MaxId()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	57	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.MaxId()" и "RoleViewModel.MaxId()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	57	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.LoadRole()" и "RoleViewModel.LoadRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	24	Активные
Ошибка	CS0121	Неоднозначный вызов следующих методов или свойств: "RoleViewModel.LoadRole()" и "RoleViewModel.LoadRole()"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	24	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._selectedRole" и "RoleViewModel._selectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	20	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._selectedRole" и "RoleViewModel._selectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	20	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._selectedRole" и "RoleViewModel._selectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	20	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._selectedRole" и "RoleViewModel._selectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	20	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	29	Активные
